num_envs,num_actors,num_dofs,num_bodies,energy,env
2048,1,12,13,0.01466163325,AnymalTerrain
4096,1,12,13,0.02258939726,AnymalTerrain
8192,1,12,13,0.04615427516,AnymalTerrain
16384,1,12,13,0.09800830501,AnymalTerrain
2048,1,8,9,0.00257885668,Ant
4096,1,8,9,0.003796452334,Ant
8192,1,8,9,0.005021929255,Ant
16384,1,8,9,0.007642087121,Ant
32768,1,8,9,0.01480559419,Ant
2048,2,6,8,0.003346578808,BallBalance
4096,2,6,8,0.005452539784,BallBalance
8192,2,6,8,0.009164128593,BallBalance
16384,2,6,8,0.01541044119,BallBalance
32768,2,6,8,0.02866388644,BallBalance
2048,1,2,3,0.00242879831,Cartpole
4096,1,2,3,0.004081950719,Cartpole
8192,1,2,3,0.007037964666,Cartpole
16384,1,2,3,0.01290033792,Cartpole
32768,1,2,3,0.02502278842,Cartpole
2048,1,21,16,0.008359314422,Humanoid
4096,1,21,16,0.01261037701,Humanoid
8192,1,21,16,0.02333024319,Humanoid
16384,1,21,16,0.05471357059,Humanoid
32768,1,21,16,0.1136160665,Humanoid
2048,2,4,6,0.002520292749,Ingenuity
4096,2,4,6,0.003258198965,Ingenuity
8192,2,4,6,0.005430377384,Ingenuity
16384,2,4,6,0.008981086091,Ingenuity
32768,2,4,6,0.01642047823,Ingenuity
2048,1,8,9,0.001245703213,Quadcopter
4096,1,8,9,0.001876432684,Quadcopter
8192,1,8,9,0.003017455604,Quadcopter
16384,1,8,9,0.004807110462,Quadcopter
32768,1,8,9,0.01012820233,Quadcopter
2048,5,9,28,0.009609444391,Trifinger
4096,5,9,28,0.01244765023,Trifinger
8192,5,9,28,0.01685255688,Trifinger
16384,5,9,28,0.03067292293,Trifinger
32768,5,9,28,0.05499335676,Trifinger
