num_envs,num_actors,num_dofs,num_bodies,energy,env
2048,1,12,13,0.000431863275,AnymalTerrain
4096,1,12,13,0.000590702824,AnymalTerrain
8192,1,12,13,0.00120742598,AnymalTerrain
16384,1,12,13,0.002960640564,AnymalTerrain
2048,1,8,9,0.0001163405593,Ant
4096,1,8,9,0.0001275900758,Ant
8192,1,8,9,0.0001448435384,Ant
16384,1,8,9,0.0001818039746,Ant
32768,1,8,9,0.0002915432271,Ant
2048,2,6,8,0.0001039467015,BallBalance
4096,2,6,8,0.0001341851159,BallBalance
8192,2,6,8,0.0001724333926,BallBalance
16384,2,6,8,0.0002499694221,BallBalance
32768,2,6,8,0.00042620688,BallBalance
2048,1,2,3,8.24E-05,Cartpole
4096,1,2,3,9.13E-05,Cartpole
8192,1,2,3,0.0001220738701,Cartpole
16384,1,2,3,0.0002048707279,Cartpole
32768,1,2,3,0.0002932108389,Cartpole
2048,1,21,16,0.004785096548,Humanoid
4096,1,21,16,0.007822781148,Humanoid
8192,1,21,16,0.01229183707,Humanoid
16384,1,21,16,0.0294252027,Humanoid
32768,1,21,16,0.05242485472,Humanoid
2048,2,4,6,0.001516821238,Ingenuity
4096,2,4,6,0.00216218109,Ingenuity
8192,2,4,6,0.004136657728,Ingenuity
16384,2,4,6,0.007328695613,Ingenuity
32768,2,4,6,0.01465473363,Ingenuity
2048,1,8,9,0.0008184701986,Quadcopter
4096,1,8,9,0.001224037237,Quadcopter
8192,1,8,9,0.002212034664,Quadcopter
16384,1,8,9,0.004028722618,Quadcopter
32768,1,8,9,0.00790635524,Quadcopter
2048,5,9,28,0.00664349958,Trifinger
4096,5,9,28,0.008684392298,Trifinger
8192,5,9,28,0.01325964172,Trifinger
16384,5,9,28,0.02186904768,Trifinger
