num_envs,num_actors,num_dofs,num_bodies,energy,env
2048,1,12,13,0.0134811627,AnymalTerrain
4096,1,12,13,0.01955558078,AnymalTerrain
8192,1,12,13,0.03470711008,AnymalTerrain
16384,1,12,13,0.07950707991,AnymalTerrain
2048,1,8,9,0.00259790553,Ant
4096,1,8,9,0.003544895348,Ant
8192,1,8,9,0.004572356373,Ant
16384,1,8,9,0.007621608775,Ant
32768,1,8,9,0.01345436486,Ant
2048,2,6,8,0.003468177034,BallBalance
4096,2,6,8,0.005458792961,BallBalance
8192,2,6,8,0.009098866034,BallBalance
16384,2,6,8,0.01677748736,BallBalance
32768,2,6,8,0.03058781448,BallBalance
2048,1,2,3,0.002647055546,Cartpole
4096,1,2,3,0.004282956177,Cartpole
8192,1,2,3,0.007098847835,Cartpole
16384,1,2,3,0.01389274764,Cartpole
32768,1,2,3,0.02522680403,Cartpole
2048,1,21,16,0.008397888561,Humanoid
4096,1,21,16,0.01237185218,Humanoid
8192,1,21,16,0.02623065709,Humanoid
16384,1,21,16,0.04937396925,Humanoid
32768,1,21,16,0.1073990161,Humanoid
2048,2,4,6,0.002773261185,Ingenuity
4096,2,4,6,0.004635726327,Ingenuity
8192,2,4,6,0.007156973496,Ingenuity
16384,2,4,6,0.01355972397,Ingenuity
32768,2,4,6,0.02445973993,Ingenuity
2048,1,8,9,0.001644447458,Quadcopter
4096,1,8,9,0.002470297526,Quadcopter
8192,1,8,9,0.004115398113,Quadcopter
16384,1,8,9,0.007328489811,Quadcopter
32768,1,8,9,0.01300307578,Quadcopter
2048,5,9,28,0.008584821447,Trifinger
4096,5,9,28,0.01133051817,Trifinger
8192,5,9,28,0.01442736396,Trifinger
16384,5,9,28,0.02465552219,Trifinger
32768,5,9,28,0.04525941702,Trifinger
